0.02239880930037638,0.11371119874283887 out/fx600

0.021973370245717345,0.13521081003136848 out/fx1000

0.022237555789293983,0.1593548895783707 out/fx1500

0.0211676115239269,0.19871552842940418 out/fx2000

0.020076738348018878,0.41825863757435316 out/fx5000

0.01901873218591653,0.9369591860503267 out/fx10000

0.02167016237602157,1.5070241077105808 out/fx20000

0.021522387725872668,0.16946091582200712 in/fx600

0.021771533987197805,0.05722754761880715 in/fx1000

0.02098442481496184,0.06155078471552622 in/fx1500

0.023322486965425975,0.06566831100431246 in/fx2000

0.021728433140121794,0.08471441614488302 in/fx3000

0.022506571567516117,0.10475824457657033 in/fx4000

0.02011009785207655,0.1588949222545884 in/fx5000

0.020020215347426408,0.2870074446790189 in/fx6000
 
0.018606367255022984,0.30130909628134245 in/fx7000

0.019887995869130683,0.434774464859055 in/fx8000

0.01965895456110319,0.6702957705859497 in/fx10000

0.018736020563848838,1.322407699534702 in/fx20000
